tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,first_set,second_set,third_set,fourth_set,fifth_set,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,ranking_distance,point_distance,first_sg1,first_sg2,second_sg1,second_sg2,third_sg1,third_sg2,fourth_sg1,fourth_sg2,fifth_sg1,fifth_sg2,first_sts,second_sts,third_sts,fourth_sts,fifth_sts,first_sttp,second_sttp,third_sttp,fourth_sttp,fifth_sttp,first_sg,second_sg,third_sg,fourth_sg,fifth_sg,sets_played,games_played,average_set_length,average_game_length,ace_gap,w_ace_win_ratio,w_ace_serve_ratio,l_ace_win_ratio,l_ace_serve_ratio,w_bpRatio,l_bpRatio,w_svRatio,l_svRatio,w_1stWinRatio,l_1stWinRatio,total_height,w_SvGms_TotGms,w_SvGms_TotGms_Log,l_SvGms_TotGms,l_SvGms_TotGms_Log,age_gap,hand_combo,first_set_comp,second_set_comp,third_set_comp,fourth_set_comp,fifth_set_comp,match_comp_tot,match_comp_standardized,first_tiebreaker_comp,second_tiebreaker_comp,third_tiebreaker_comp,fourth_tiebreaker_comp,fifth_tiebreaker_comp,total_tiebreaker_comp,standard_tiebreaker_comp,abs_ranking_distance,abs_point_distance
2019-M020,Brisbane,Hard,32,A,20181231,290,105683,5,MD,Milos Raonic,R,196,CAN,28.0109514031,200175,NA,Q,Miomir Kecmanovic,R,183,SRB,19.3347022587,6-3,7-6(2),NA,NA,NA,3,R16,82,21,3,62,46,40,10,11,0,0,3,0,71,44,28,18,10,2,3,18,1855,131,433,113,1422,6,3,7,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,9,13,NA,NA,NA,2,22,41,3.727272727272727,18,0.42,0.3387096774193548,0.06521739130434782,0.04225352112676056,0,1.5,1.0508474576271187,1,114.99999999999999,157.14285714285714,379,242,2.383815365980431,220,2.342422680822206,8.676249144400003,RR,0.5,0.8571428571428571,NA,NA,NA,1.3571428571428572,0.6785714285714286,NA,0.2857142857142857,NA,NA,NA,0.2857142857142857,0.14285714285714285,113,1422
2019-M020,Brisbane,Hard,32,A,20181231,289,104871,NA,MD,Jeremy Chardy,R,188,FRA,31.8822724162,106401,8,MD,Nick Kyrgios,R,193,AUS,23.6796714579,6-7(5),6-2,6-3,NA,NA,3,R16,99,17,5,84,58,50,17,15,2,2,13,6,80,59,48,10,14,2,5,40,1050,35,1125,-5,-75,6,7,6,2,6,3,NA,NA,NA,NA,5,NA,NA,NA,NA,12,NA,NA,NA,NA,13,8,9,NA,NA,3,30,33,3.3,4,0.2537313432835821,0.20238095238095238,0.22413793103448276,0.1625,2,1.25,1.0632911392405062,1.0810810810810811,115.99999999999999,122.91666666666667,381,450,2.6532125137753435,420,2.6232492903979003,8.2026009583,RR,0.8571428571428571,0.3333333333333333,0.5,NA,NA,1.6904761904761905,0.5634920634920635,0.7142857142857143,NA,NA,NA,NA,0.7142857142857143,0.2380952380952381,5,75
2019-M020,Brisbane,Hard,32,A,20181231,288,106034,NA,Q,Yasutaka Uchiyama,R,183,JPN,26.4038329911,106378,3,MD,Kyle Edmund,R,188,GBR,23.9780971937,7-6(6),6-4,NA,NA,NA,3,R16,93,15,0,75,48,41,14,11,3,3,7,1,75,50,35,14,11,1,2,185,275,14,2150,-171,-1875,7,6,6,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,14,NA,NA,NA,NA,13,10,NA,NA,NA,2,23,46.5,4.043478260869565,8,0.2727272727272727,0.2,0.14285714285714285,0.09333333333333334,3,1,1,1.0135135135135136,117.07317073170731,142.85714285714286,371,253,2.403120521175818,253,2.403120521175818,2.4257357974000016,RR,0.8571428571428571,0.6666666666666666,NA,NA,NA,1.5238095238095237,0.7619047619047619,0.75,NA,NA,NA,NA,0.75,0.375,171,1875
2019-M020,Brisbane,Hard,32,A,20181231,287,105777,6,MD,Grigor Dimitrov,R,188,BUL,27.627652293,105357,NA,MD,John Millman,R,183,AUS,29.5468856947,6-3,6-4,NA,NA,NA,3,R16,88,6,2,63,35,27,13,10,2,4,1,1,55,37,18,10,9,3,7,19,1835,38,1083,19,752,6,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,2,19,44,4.631578947368421,5,0.15,0.09523809523809523,0.03571428571428571,0.01818181818181818,1.3333333333333333,1.4,1.0327868852459017,1.0185185185185186,129.62962962962962,205.55555555555554,371,190,2.278753600952829,171,2.2329961103921536,-1.919233401699998,RR,0.5,0.6666666666666666,NA,NA,NA,1.1666666666666665,0.5833333333333333,NA,NA,NA,NA,NA,0,0,19,752
2019-M020,Brisbane,Hard,32,A,20181231,286,105453,2,MD,Kei Nishikori,R,178,JPN,29.0047912389,106045,NA,MD,Denis Kudla,R,180,USA,26.3709787817,7-5,6-2,NA,NA,NA,3,R16,79,7,2,56,32,27,15,10,0,0,5,3,60,36,26,8,10,4,7,9,3590,63,810,54,2780,7,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,NA,NA,NA,2,20,39.5,3.95,2,0.16666666666666666,0.125,0.14705882352941177,0.08333333333333333,0,1.75,1.037037037037037,1.0526315789473684,118.5185185185185,138.46153846153845,358,200,2.3010299956639813,200,2.3010299956639813,2.6338124572000012,RR,0.7142857142857143,0.3333333333333333,NA,NA,NA,1.0476190476190477,0.5238095238095238,NA,NA,NA,NA,NA,0,0,54,2780
2019-M020,Brisbane,Hard,32,A,20181231,284,104542,NA,PR,Jo-Wilfried Tsonga,R,188,FRA,33.7056810404,106423,NA,Q,Thanasi Kokkinakis,R,196,AUS,22.7241615332,7-6(6),6-4,NA,NA,NA,3,R32,102,11,1,76,41,33,20,11,2,3,3,0,61,46,34,10,11,1,3,239,200,146,367,-93,-167,7,6,6,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,14,NA,NA,NA,NA,13,10,NA,NA,NA,2,23,51,4.434782608695652,8,0.20754716981132076,0.14473684210526316,0.06818181818181818,0.04918032786885246,1.5,1,1.0133333333333334,1,124.24242424242425,135.29411764705884,384,253,2.403120521175818,253,2.403120521175818,10.981519507200002,RR,0.8571428571428571,0.6666666666666666,NA,NA,NA,1.5238095238095237,0.7619047619047619,0.75,NA,NA,NA,NA,0.75,0.375,93,167
2019-M020,Brisbane,Hard,32,A,20181231,283,111442,NA,MD,Jordan Thompson,R,183,AUS,24.6981519507,106109,NA,WC,Alex Bolt,L,NA,AUS,25.9849418207,6-3,6-0,NA,NA,NA,3,R32,77,1,2,42,29,23,7,8,0,1,1,3,64,33,17,12,7,8,13,72,715,154,352,82,363,6,3,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,2,15,38.5,5.133333333333334,0,0.03333333333333333,0.023809523809523808,0.034482758620689655,0.015625,0.5,2.1666666666666665,1.05,1.0491803278688525,126.08695652173914,194.11764705882354,NA,120,2.0791812460476247,105,2.0211892990699383,-1.2867898699999998,RL,0.5,0,NA,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,0,0,82,363
2019-M020,Brisbane,Hard,32,A,20181231,282,200282,7,MD,Alex De Minaur,R,183,AUS,19.8685831622,200615,NA,WC,Alexei Popyrin,R,196,AUS,19.4058863792,6-2,6-2,NA,NA,NA,3,R32,60,1,2,43,28,25,6,8,3,4,5,5,49,31,18,4,8,4,9,31,1298,147,367,116,931,6,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,2,16,30,3.75,-4,0.03225806451612903,0.023255813953488372,0.22727272727272727,0.10204081632653061,2,1.5,1.048780487804878,1.1136363636363635,112.00000000000001,172.22222222222223,379,128,2.1072099696478683,128,2.1072099696478683,0.46269678300000194,RR,0.3333333333333333,0.3333333333333333,NA,NA,NA,0.6666666666666666,0.3333333333333333,NA,NA,NA,NA,NA,0,0,116,931
2019-M020,Brisbane,Hard,32,A,20181231,280,104918,NA,PR,Andy Murray,R,190,GBR,31.6303901437,105902,NA,WC,James Duckworth,R,183,AUS,26.9431895962,6-3,6-4,NA,NA,NA,3,R32,88,6,4,66,39,28,16,10,4,5,8,2,56,34,23,9,9,1,4,240,200,234,206,-6,-6,6,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,2,19,44,4.631578947368421,-2,0.13636363636363635,0.09090909090909091,0.25,0.14285714285714285,2.5,1,1.064516129032258,1.037037037037037,139.28571428571428,147.82608695652172,373,190,2.278753600952829,171,2.2329961103921536,4.687200547500002,RR,0.5,0.6666666666666666,NA,NA,NA,1.1666666666666665,0.5833333333333333,NA,NA,NA,NA,NA,0,0,6,6
2019-M020,Brisbane,Hard,32,A,20181231,279,200175,NA,Q,Miomir Kecmanovic,R,183,SRB,19.3347022587,104919,NA,MD,Leonardo Mayer,R,188,ARG,31.6303901437,6-3,6-1,NA,NA,NA,3,R32,61,5,2,45,25,22,12,8,1,1,6,2,49,29,18,7,8,4,8,131,433,56,895,-75,-462,6,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,NA,NA,NA,2,16,30.5,3.8125,-1,0.14705882352941177,0.1111111111111111,0.24,0.12244897959183673,1,1.6,1.0465116279069768,1.0425531914893618,113.63636363636364,161.11111111111111,371,128,2.1072099696478683,128,2.1072099696478683,-12.295687885000003,RR,0.5,0.16666666666666666,NA,NA,NA,0.6666666666666666,0.3333333333333333,NA,NA,NA,NA,NA,0,0,75,462
2019-M020,Brisbane,Hard,32,A,20181231,278,105683,5,MD,Milos Raonic,R,196,CAN,28.0109514031,105379,NA,MD,Aljaz Bedene,R,181,SLO,29.453798768,6-0,6-3,NA,NA,NA,3,R32,47,18,0,38,29,27,5,8,0,0,4,1,43,30,16,2,7,4,8,18,1855,67,780,49,1075,6,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,2,15,23.5,3.1333333333333333,14,0.5625,0.47368421052631576,0.2222222222222222,0.09302325581395349,0,1.6,1,1.0238095238095237,107.40740740740742,187.5,377,120,2.0791812460476247,105,2.0211892990699383,-1.4428473648999969,RR,0,0.5,NA,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,0,0,49,1075
2019-M020,Brisbane,Hard,32,A,20181231,277,106401,8,MD,Nick Kyrgios,R,193,AUS,23.6796714579,105992,NA,MD,Ryan Harrison,R,183,USA,26.6502395619,7-6(5),5-7,7-6(5),NA,NA,3,R32,128,44,3,119,80,63,24,18,1,2,27,3,113,77,60,24,18,5,5,35,1125,62,810,27,315,7,6,5,7,7,6,NA,NA,NA,NA,5,NA,5,NA,NA,12,NA,12,NA,NA,13,12,13,NA,NA,3,38,42.666666666666664,3.3684210526315788,17,0.5057471264367817,0.3697478991596639,0.32142857142857145,0.23893805309734514,1,5,1.0258620689655173,1.0272727272727273,126.98412698412697,128.33333333333334,376,684,2.835056101720116,684,2.835056101720116,-2.9705681040000016,RR,0.8571428571428571,0.7142857142857143,0.8571428571428571,NA,NA,2.4285714285714284,0.8095238095238094,0.7142857142857143,NA,0.7142857142857143,NA,NA,1.4285714285714286,0.4761904761904762,27,315
